humidity,kelembabanTanah,tdsValue,temperature,waterLevel,time
50,64.44444,222,34,High,13:26:47
51,64.44444,151,34,High,12:12:24
51,64.44444,149,34,High,12:13:24
50,64.44444,225,34,High,13:30:24
50,64.44444,158,34,High,12:35:24
50,64.46886,221,34,High,13:27:27
49,64.49329,156,34,High,13:02:24
51,64.49329,151,34,High,12:19:24
50,64.49329,227,34,High,13:31:24
51,64.56654,140,34,High,12:18:24
50,64.66422,154,34,High,12:34:24
50,64.7619,221,34,High,13:29:24
51,64.78632,149,34,High,12:16:24
51,64.78632,159,34,High,12:30:24
51,64.884,148,34,High,12:15:24
51,64.90842,147,34,High,12:17:24
51,65.1282,140,34,High,12:14:24
50,65.17705,277,34,High,13:12:24
51,65.22588,124,34,High,13:06:24
51,65.22588,148,34,High,13:07:24
49,66.00732,83,34,High,13:03:24
49,66.32478,133,34,High,12:57:15
49,66.61783,135,34,High,13:00:09
49,66.64225,136,34,High,13:01:24
49,66.66666,132,34,High,13:00:59
49,66.66666,131,34,High,13:00:39
49,66.71551,136,34,High,12:59:24
49,66.73993,129,34,High,12:59:48
49,66.73993,132,34,High,13:00:19
49,66.73993,132,34,High,13:00:29
49,66.73993,129,34,High,12:59:45
49,66.76434,136,34,High,12:57:55
49,66.78876,129,34,High,12:58:05
49,66.78876,136,34,High,12:57:45
49,66.78876,136,34,High,12:57:35
49,66.78876,130,34,High,12:59:59
49,66.78876,136,34,High,12:57:04
49,66.78876,136,34,High,12:57:01
49,66.78876,136,34,High,12:56:59
49,66.78876,128,34,High,13:00:49
49,66.88644,131,34,High,12:58:24
49,66.91087,133,34,High,12:57:25
51,67.20391,137,34,High,13:04:24
50,67.39927,128,34,High,13:05:24
50,95.33578,0,26,High,01:06:11
50,96.75214,821,27,Low,01:05:24
52,97.14286,11,26,Low,01:12:11
51,97.50916,105,26,Low,01:08:11
50,98.09524,7,27,Low,01:04:59
50,98.09524,7,27,Low,01:05:04
51,98.55922,825,26,Low,01:10:11
52,98.73016,0,26,Low,01:13:11
50,99.1453,28,27,Low,01:05:34
50,99.1453,28,27,Low,01:05:44
51,99.46276,157,26,High,01:09:11
52,100.0,539,26,High,01:15:11
51,100.0,157,26,High,01:14:11
51,100.0,436,26,Low,01:07:11
51,100.0,810,26,High,01:16:11
50,100.0,293,27,High,01:05:54
50,100.0,135,27,High,01:05:14
53,100.0,671,26,High,01:11:11
51,100.0,793,26,High,01:17:11
